_id,accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
1,31/1/2022,14:46,ศรีรัช,ปกติ,0,1,0,0,ก้มเก็บของ
2,31/1/2022,11:00,บูรพาวิถี,ปกติ,0,0,0,0,เพลิงไหม้
3,30/1/2022,0:48,เฉลิมมหานคร,ปกติ,1,0,1,0,ขับรถเร็วเกินไป
4,29/1/2022,4:00,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
5,29/1/2022,0:45,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
6,29/1/2022,0:04,ศรีรัช,ปกติ,0,0,0,0,หลับใน
7,28/1/2022,14:30,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
8,28/1/2022,13:10,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,บรรทุกยื่นล้ำ
9,28/1/2022,9:44,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,บรรทุกเกิน/ของตกหล่น
10,27/1/2022,12:51,ฉลองรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
11,25/1/2022,12:24,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
12,25/1/2022,8:34,ศรีรัช,ปกติ,1,0,0,0,เบรกกะทันหัน
13,25/1/2022,4:38,เฉลิมมหานคร,ปกติ,1,0,0,1,หลับใน
14,23/1/2022,18:00,ฉลองรัช,ปกติ,0,1,0,0,เบรกกะทันหัน
15,23/1/2022,1:44,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
16,23/1/2022,0:42,ฉลองรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
17,22/1/2022,10:28,ศรีรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
18,22/1/2022,10:20,เฉลิมมหานคร,ฝนตก,1,0,0,0,ขับรถเร็วเกินไป
19,21/1/2022,1:05,ศรีรัช,ปกติ,0,0,0,0,หลับใน
20,20/1/2022,16:12,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
21,20/1/2022,11:37,ฉลองรัช,ปกติ,1,0,0,0,ขับรถคล่อมเลน
22,20/1/2022,10:55,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,ขับชิดขอบทางขวามากเกินไป
23,20/1/2022,1:45,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,หลับใน
24,19/1/2022,23:14,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
25,19/1/2022,11:06,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
26,18/1/2022,11:23,ฉลองรัช,ปกติ,0,0,0,0,เบรกกระชั้นชิด
27,17/1/2022,9:36,บางพลี-สุขสวัสดิ์,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
28,17/1/2022,5:05,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,มองไม่เห็น
29,17/1/2022,3:02,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,หลับใน
30,16/1/2022,5:00,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,หลับใน
31,16/1/2022,0:41,ฉลองรัช,ปกติ,0,0,0,0,ขับขี่กระชั้นชิด
32,15/1/2022,14:50,เฉลิมมหานคร,ปกติ,1,0,0,0,ขับรถช้าลง
33,14/1/2022,19:59,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,สภาพแวดล้อม
34,14/1/2022,9:14,เฉลิมมหานคร,ปกติ,2,1,0,0,หลับใน
35,11/1/2022,19:34,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
36,10/1/2022,15:55,ฉลองรัช,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
37,9/1/2022,19:43,ศรีรัช,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
38,9/1/2022,7:55,ฉลองรัช,ปกติ,0,1,0,0,สภาพแวดล้อม
39,8/1/2022,12:53,ฉลองรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
40,6/1/2022,21:57,ศรีรัช,ปกติ,0,0,0,0,ผู้ขับขี่นั่งบุคคลก้มดูโทรศัพท
41,5/1/2022,9:20,ศรีรัช,ปกติ,0,1,0,0,นั่งบุคคลIsuzuเบรคไม่ทัน
42,4/1/2022,9:17,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
43,2/1/2022,23:25,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
44,2/1/2022,19:17,บูรพาวิถี,ปกติ,1,0,0,0,ขับรถกระชั้นชิด
45,1/1/2022,13:07,ทางหลวงพิเศษหมายเลข 37,ปกติ,3,0,0,0,เปลี่ยนช่องทางกระทันหัน
46,1/1/2022,8:30,บางพลี-สุขสวัสดิ์,ปกติ,0,2,0,0,ขับรถช้าลง
